State,County,Year,Volume,Count
Texas,Pecos,2008,1674741,8
Texas,Reagan,2014,64870295,8
Texas,Reagan,2014,96321834,8
Texas,Reagan,2015,125711292,8
Texas,Reagan,2016,101408748,8
Texas,Reagan,2017,135872310,8
Texas,Reagan,2017,115860906,8
Texas,Reagan,2018,179869452,8
Texas,Reeves,2018,95865798,8
Texas,Reeves,2018,121961700,8
Texas,Reeves,2018,123166050,8
Texas,Reeves,2018,86805222,8
Texas,Reeves,2018,103779228,8
Texas,Scurry,2000,683486,8
Texas,Scurry,2014,1272704,8
Texas,Sutton,2001,192500,8
Texas,Sutton,2002,344500,8
Texas,Sutton,2002,196000,8
Texas,Sutton,2003,602500,8
Texas,Sutton,2005,893532,8
Texas,Sutton,2006,1172633,8
Texas,Sutton,2007,895700,8
Texas,Upton,2005,151921,8
Texas,Upton,2008,8850547,8
Texas,Upton,2011,9728206,8
Texas,Upton,2014,81565806,8
Texas,Upton,2015,101587122,8
Texas,Upton,2017,157349094,8
Texas,Upton,2018,149111130,8
Texas,Upton,2018,161938350,8
Texas,Upton,2019,161545398,8
Texas,Ward,2010,227912,8
Texas,Ward,2011,84294,8
Texas,Ward,2011,56091,8
Texas,Ward,2012,65373,8
Texas,Ward,2014,67872,8
Texas,Ward,2014,74319,8
Texas,Ward,2018,190932336,8
Texas,Ward,2019,172185174,8
Texas,Winkler,2018,193558260,8
Texas,Andrews,2005,794059,7
Texas,Andrews,2006,645625,7
Texas,Andrews,2007,531768,7
Texas,Andrews,2008,798672,7
Texas,Andrews,2008,785341,7
Texas,Andrews,2008,739960,7
Texas,Andrews,2008,774558,7
Texas,Andrews,2008,497932,7
Texas,Andrews,2008,453852,7
Texas,Andrews,2008,743292,7
Texas,Andrews,2009,669589,7
Texas,Andrews,2009,731976,7
Texas,Andrews,2010,1058778,7
Texas,Andrews,2010,482202,7
Texas,Andrews,2010,694176,7
Texas,Andrews,2010,589722,7
Texas,Andrews,2010,623918,7
Texas,Andrews,2010,7784826,7
Texas,Andrews,2011,1326864,7
Texas,Andrews,2011,608664,7
Texas,Andrews,2012,1867573,7
